SIZE,ITERATION,NAIVE,BETTER,GSL
450,8,539935003,459607793,81865042
450,9,558667705,387409856,64796060
475,0,611114989,432536085,68207512
475,1,642491869,486915938,70675953
475,2,685753628,514464267,118257023
475,3,697721761,421742031,81996682
475,4,581378911,415416971,73041141
475,5,576597488,455345229,72510370
475,6,572937986,480553944,62665627
475,7,680149081,435615973,72338635
475,8,595399989,467167893,96785366
475,9,776827378,476031095,84504894
