SIZE,ITERATION,NAIVE,BETTER,GSL
475,0,144626560,39655116,76476128
475,1,136012651,52198013,76596572
475,2,152264083,37338084,68858922
475,3,145788525,41845299,78068486
475,4,138585120,41135980,73828926
475,5,146856701,54020615,75353570
475,6,150537760,39830629,70689302
475,7,145542054,39274766,74562446
475,8,140008261,46352414,78671109
475,9,143635469,46529444,70533064
